Date,Incidents
2018-01,12537
2018-02,11096
2018-03,11796
2018-04,11732
2018-05,12158
2018-06,11628
2018-07,12977
2018-08,13041
2018-09,12034
2018-10,12513
2018-11,11348
2018-12,11655
2019-01,11452
2019-02,10303
2019-03,10994
2019-04,11128
2019-05,11582
2019-06,11387
2019-07,12296
2019-08,12777
2019-09,12148
2019-10,12864
2019-11,11396
2019-12,11490
2020-01,11668
2020-02,10799
2020-03,8974
2020-04,7625
2020-05,9082
2020-06,8714
2020-07,9428
2020-08,9166
2020-09,8706
2020-10,9201
2020-11,9349
2020-12,9696
2021-01,9917
2021-02,8894
2021-03,8989
2021-04,8951
2021-05,10011
2021-06,10409
2021-07,10503
2021-08,10324
2021-09,10761
2021-10,11308
2021-11,11020
2021-12,10416
2022-01,9759
2022-02,9045
2022-03,10238
2022-04,9922
2022-05,9616
2022-06,9792
2022-07,8418
