Neighborhood,Incidents,Percentage
Mission,62968,42
Tenderloin,59609,60
Financial District/South Beach,48636,65
South of Market,47385,65
Bayview Hunters Point,38023,62
North Beach,19210,63
Western Addition,18861,48
Castro/Upper Market,17905,48
Sunset/Parkside,17558,70
Nob Hill,16957,60
Marina,16621,72
Hayes Valley,16053,48
Russian Hill,14215,72
Outer Richmond,13604,63
West of Twin Peaks,11883,67
Chinatown,10980,68
Bernal Heights,10877,40
Mission Bay,10723,53
Pacific Heights,10548,72
Potrero Hill,9977,53
Excelsior,9965,64
Haight Ashbury,9828,43
Outer Mission,8410,42
Inner Richmond,7971,63
Inner Sunset,7525,46
Lakeshore,7387,74
Lone Mountain/USF,7198,62
Portola,6690,70
Visitacion Valley,6451,71
Noe Valley,6374,46
Oceanview/Merced/Ingleside,6342,62
Japantown,6062,48
Presidio Heights,3797,68
Glen Park,3269,44
Twin Peaks,3044,55
Treasure Island,2153,65
Presidio,1305,62
